created_at,favorite_count,full_text
Fri Aug 25 01:38:08 +0000 2023,1805081,https://t.co/MlIKklPSJT https://t.co/Mcbf2xozsY
Fri Jan 08 15:44:28 +0000 2021,696857,"To all of those who have asked, I will not be going to the Inauguration on January 20th."
Fri Jan 08 14:46:38 +0000 2021,598366,"The 75,000,000 great American Patriots who voted for me, AMERICA FIRST, and MAKE AMERICA GREAT AGAIN, will have a GIANT VOICE long into the future. They will not be disrespected or treated unfairly in any way, shape or form!!!"
Fri Jan 08 00:10:24 +0000 2021,683399,https://t.co/csX07ZVWGe
Wed Jan 06 20:13:26 +0000 2021,770182,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; Order – respect the Law and our great men and women in Blue. Thank you!"
Wed Jan 06 19:38:58 +0000 2021,556064,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!
Wed Jan 06 18:49:54 +0000 2021,233245,https://t.co/izItBeFE6G
Wed Jan 06 15:44:31 +0000 2021,203218,These scoundrels are only toying with the @sendavidperdue (a great guy) vote. Just didn’t want to announce quite yet. They’ve got as many ballots as are necessary. Rigged Election!
Wed Jan 06 14:16:30 +0000 2021,413391,Even Mexico uses Voter I.D.
Wed Jan 06 14:15:07 +0000 2021,244973,The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!
Wed Jan 06 14:00:12 +0000 2021,303310,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!"
Wed Jan 06 13:22:26 +0000 2021,272793,"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!"
Wed Jan 06 13:17:22 +0000 2021,197601,"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt process never received legislative approval.  All Mike Pence has to do is send them back to the States, AND WE WIN. Do it Mike, this is a time for extreme courage!"
Wed Jan 06 13:06:45 +0000 2021,152435,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!
Wed Jan 06 06:00:50 +0000 2021,216582,"If Vice President @Mike_Pence comes through for us, we will win the Presidency. Many States want to decertify the mistake they made in certifying incorrect &amp; even fraudulent numbers in a process  NOT approved by their State Legislatures (which it must be). Mike can send it back!"
Wed Jan 06 05:47:01 +0000 2021,0,RT @DanScavino: 🔊WOW! We hear you from the West Wing—THANK YOU❤️🇺🇸🦅 https://t.co/onytmaJUhp
Wed Jan 06 05:46:29 +0000 2021,0,RT @christina_bobb: Pennsylvania is going to Trump.  The legislators have spoken.
Wed Jan 06 05:43:42 +0000 2021,98902,Get smart Republicans. FIGHT!
Wed Jan 06 05:17:52 +0000 2021,0,RT @TomiLahren: I wonder when the water main is gonna burst in Georgia....
Wed Jan 06 05:17:43 +0000 2021,0,RT @TomiLahren: Democrats scrounging up votes from mystical places again....
